677	 248	 242	 946	 838	
20	 529	 137	 552	 396	
45	 439	 218	 962	 205	
114	 764	 559	 969	 762	
14	 248	 136	 591	 31	
494	 198	 325	 461	 526	
903	 430	 481	 680	 313	
868	 573	 379	 681	 799	
58	 292	 264	 672	 996	
707	 909	 628	 758	 291	
62	 470	 455	 622	 911	
83	 956	 409	 777	 684	
646	 471	 188	 383	 380	
351	 222	 787	 630	 78	
738	 861	 468	 745	 185	
233	 395	 666	 892	 479	
340	 344	 268	 412	 483	
172	 15	 924	 331	 970	
803	 577	 772	 967	 245	
847	 129	 0	 171	 498	
809	 20	 132	 468	 418	
47	 720	 570	 126	 883	
784	 45	 543	 280	 161	
442	 862	 295	 246	 107	
764	 205	 712	 659	 66	
179	 94	 317	 753	 733	
724	 390	 276	 143	 997	
998	 321	 594	 527	 365	
189	 114	 387	 374	 389	
86	 13	 278	 577	 563	
823	 251	 657	 973	 536	
198	 849	 420	 731	 752	
43	 378	 263	 105	 849	
454	 922	 428	 345	 402	
544	 682	 463	 164	 408	
909	 947	 853	 241	 909	
477	 732	 802	 532	 695	
176	 220	 175	 849	 702	
616	 228	 588	 771	 400	
301	 502	 375	 798	 753	
686	 24	 587	 437	 240	
523	 778	 425	 54	 509	
969	 588	 269	 99	 992	
169	 135	 808	 334	 0	
50	 60	 855	 123	 59	
641	 877	 400	 0	 278	
212	 841	 721	 344	 640	
831	 660	 55	 708	 592	
756	 424	 456	 220	 51	
446	 505	 325	 336	 559	
737	 240	 396	 619	 366	
783	 70	 64	 892	 53	
681	 807	 600	 234	 425	
685	 12	 498	 373	 35	
16	 555	 189	 972	 641	
442	 836	 5	 79	 160	
449	 466	 365	 488	 422	
133	 661	 725	 641	 86	
391	 972	 642	 128	 235	
500	 204	 953	 250	 180	
617	 131	 159	 784	 231	
706	 525	 603	 700	 644	
911	 196	 516	 796	 887	
819	 38	 306	 308	 167	
737	 262	 549	 562	 877	
395	 361	 317	 273	 410	
567	 477	 449	 344	 646	
572	 835	 601	 743	 68	
692	 719	 485	 107	 414	
731	 38	 863	 618	 838	
180	 768	 922	 228	 971	
